id,user,recipient,sid,timestamp,body
2260,User02,user08,0,2021-06-14 20:17:39.470875+00:00,Ciao 🥰
2259,User02,user08,0,2021-06-14 20:17:34.522556+00:00,ich begebe mich jetzt mal auf Emojis Entzug ... uff 👀
2258,user08,User02,0,2021-06-14 20:17:31.440223+00:00,Schön Abend dir noch!🥰😊
2257,User02,user08,0,2021-06-14 20:17:11.373674+00:00,"ach, das war doch lustig! 🥰 hab gedacht, dass soll so sein. ein Partner, der garnicht zuhört ... ganz authentisch irgendwie! 👀😊hab nen schönen Restabend ...  bis dann! 😊"
2256,user08,User02,0,2021-06-14 20:16:06.936529+00:00,"fand es ganz witzig, dass ich null auf die Schwangerschaft eingegangen bin 😊"
2255,User02,user08,0,2021-06-14 20:15:52.713233+00:00,war echt lustig ... danke für die nette Unterhaltung und bis bald mal wieder Roy! 🥰
2254,user08,User02,0,2021-06-14 20:15:46.157493+00:00,ah freut mich 😊
2253,User02,user08,0,2021-06-14 20:15:33.653554+00:00,"auf sicher ... mit Bine, Konsti Mama 🥰"
2252,User02,user08,0,2021-06-14 20:15:15.610304+00:00,sicher ... meinte ich 😊
2251,user08,User02,0,2021-06-14 20:15:08.852745+00:00,mit wem habe ich die Ehre?👀
2250,User02,user08,0,2021-06-14 20:15:08.335680+00:00,"ich dachte, das wäre so... der etwas verteilte Partner ... sicher 😊"
2249,user08,User02,0,2021-06-14 20:14:59.923509+00:00,mit dem Roy 🥰
2248,user08,User02,0,2021-06-14 20:14:37.787465+00:00,"Szenario 13 habe ich richtig verbockt 😲👀, aber fand die entwicklung fast am besten dafür"
2247,User02,user08,0,2021-06-14 20:14:29.789540+00:00,und mit wem habe ich den so nett gechattet? 🥰
2246,User02,user08,0,2021-06-14 20:14:13.355331+00:00,sollen wir wiederholen 😱👀😲🤢
2245,User02,user08,0,2021-06-14 20:13:56.331644+00:00,so - 2 Fragen ... 👀
2244,user08,User02,0,2021-06-14 20:13:56.310429+00:00,oh gott 😲
2243,User02,user08,14,2021-06-14 20:13:41.901121+00:00,Szenario 14 beendet
2242,user08,User02,14,2021-06-14 20:13:39.918230+00:00,ja gerne 👀🥰😊
2241,User02,user08,14,2021-06-14 20:13:37.630459+00:00,ciao ... 😊
2240,User02,user08,14,2021-06-14 20:13:32.947335+00:00,nicht aufregen 🥰
2239,User02,user08,14,2021-06-14 20:13:26.858904+00:00,dann schauen wir das Finale zusammen 🥰😊
2238,User02,user08,14,2021-06-14 20:13:13.224665+00:00,aber es kommt bestimmt bald die nächsten Staffel und die nächsten Chance für dich! eben 🥰😊
2237,user08,User02,14,2021-06-14 20:12:51.676574+00:00,"Bin auf die nächste Staffel gespannt, da werde ich den besseren Riecher haben! 👀😊"
2236,User02,user08,14,2021-06-14 20:12:40.126932+00:00,mein Favorit war eben nur die Alex ... 🥰
2235,User02,user08,14,2021-06-14 20:12:25.065370+00:00,"und ja, der war auch echt gut...😊"
